01,哲学
0101,哲学类
010101,哲学
010102,逻辑学
010103,宗教学
010104,伦理学
02,经济学
0201,经济学类
020101,经济学
020102,国际经济与贸易
020103,财政学
020104,金融学
020105,国民经济管理
020106,贸易经济
020107,保险
020109,金融工程
020110,税务
020111,信用管理
020112,网络经济学
020113,体育经济
020114,投资学
020115,环境资源与发展经济学
020116,海洋经济学
020117,国际文化贸易
020120,经济与金融
03,法学
0301,法学类
030101,法学
030103,知识产权
030120,监狱学
0302,马克思主义理论类
030201,科学社会主义与国际共产主义运动
030202,中国革命史与中国共产党党史
0303,社会学类
030301,社会学
030302,社会工作
030303,家政学
030304,人类学
030305,女性学
0304,政治学类
030401,政治学与行政学
030402,国际政治
030403,外交学
030404,思想政治教育
030405,国际文化交流
030406,国际政治经济学
030407,国际事务
0305,公安学类
030501,治安学
030502,侦查学
030503,边防管理
030504,火灾勘查
030505,禁毒学
030506,警犬技术
030507,经济犯罪侦查
030508,边防指挥
030509,消防指挥
030510,警卫学
030511,公安情报学
030512,犯罪学
030513,公安管理学
030514,涉外警务
04,教育学
0401,教育学类
040101,教育学
040102,学前教育
040103,特殊教育
040104,教育技术学
040105,小学教育
040106,艺术教育
040107,人文教育
040108,科学教育
040109,言语听觉科学
040110,华文教育
0402,体育学类
040201,体育教育
040202,运动训练
040203,社会体育
040204,运动人体科学
040205,民族传统体育
040206,运动康复与健康
040207,休闲体育
0403,其他类
040301,农艺教育
040302,园艺教育
040303,特用作物教育
040306,畜禽生产教育
040307,水产养殖教育
040308,应用生物教育
040311,农产品储运与加工教育
040312,农业经营管理教育
040313,机械制造工艺教育
040314,机械维修及检测技术教育
040315,机电技术教育
040316,电气技术教育
040317,汽车维修工程教育
040318,应用电子技术教育
040322,食品工艺教育
040328,建筑工程教育
040329,服装设计与工艺教育
040330,装潢设计与工艺教育
040331,旅游管理与服务教育
040332,食品营养与检验教育
040333,烹饪与营养教育
040334,财务会计教育
040335,文秘教育
040336,市场营销教育
040337,职业技术教育管理
05,文学
0501,中国语言文学类
050101,汉语言文学
050102,汉语言
050103,对外汉语
050104,中国少数民族语言文学
050105,古典文献
050106,中国语言文化
050107,应用语言学
0502,外国语言文学类
050201,英语
050202,俄语
050203,德语
050204,法语
050205,西班牙语
050206,阿拉伯语
050207,日语
050208,波斯语
050209,朝鲜语
050210,菲律宾语
050211,梵语巴利语
050212,印度尼西亚语
050213,印地语
050214,柬埔寨语
050215,老挝语
050216,缅甸语
050217,马来语
050218,蒙古语
050219,僧加罗语
050220,泰语
050221,乌尔都语
050222,希伯莱语
050223,越南语
050224,豪萨语
050225,斯瓦希里语
050226,阿尔巴尼亚语
050227,保加利亚语
050228,波兰语
050229,捷克语
